name,price,quantity,brand,category,entry_date,total_value,sku,IVA
Laptop,1200,4,BrandName,Electronics,2024-01-05,4800.0,Laptop_BrandName,192.0
Mouse,45,120,TechGear,Accessories,2024-02-10,5400.0,Mouse_TechGear,7.2
Keyboard,70,60,KeyMasters,Accessories,2024-02-12,4200.0,Keyboard_KeyMasters,11.200000000000001
Monitor,320,15,ViewSharp,Electronics,2024-03-01,4800.0,Monitor_ViewSharp,51.2
Headphones,150,25,SoundMax,Audio,2024-03-15,3750.0,Headphones_SoundMax,24.0
Webcam,85,40,ClearView,Electronics,2024-03-20,3400.0,Webcam_ClearView,13.6
Printer,200,10,PrintWell,Office,2024-04-01,2000.0,Printer_PrintWell,32.0
Tablet,400,30,TabZone,Electronics,2024-04-05,12000.0,Tablet_TabZone,64.0
Smartphone,800,20,PhonePro,Electronics,2024-04-10,16000.0,Smartphone_PhonePro,128.0
External Hard Drive,100,50,StoreMore,Storage,2024-05-01,5000.0,External Hard Drive_StoreMore,16.0
Speaker,90,35,SoundMax,Audio,2024-05-05,3150.0,Speaker_SoundMax,14.4
Microphone,110,18,VoiceClear,Audio,2024-05-10,1980.0,Microphone_VoiceClear,17.6
Charger,25,150,PowerPlus,Accessories,2024-05-15,3750.0,Charger_PowerPlus,4.0
USB Cable,10,200,CableWorld,Accessories,2024-05-20,2000.0,USB Cable_CableWorld,1.6
Power Bank,60,80,ChargeIt,Accessories,2024-05-25,4800.0,Power Bank_ChargeIt,9.6
Router,150,25,NetSpeed,Networking,2024-06-01,3750.0,Router_NetSpeed,24.0
Mouse Pad,20,100,ComfortZone,Accessories,2024-06-05,2000.0,Mouse Pad_ComfortZone,3.2
Laptop Stand,55,45,ErgoLift,Accessories,2024-06-10,2475.0,Laptop Stand_ErgoLift,8.8
Projector,550,8,ProView,Electronics,2024-06-15,4400.0,Projector_ProView,88.0
Graphics Tablet,250,12,ArtMaster,Electronics,2024-06-20,3000.0,Graphics Tablet_ArtMaster,40.0
Wireless Charger,75,100,ChargerMaster,Accessories,2024-07-01,7500.0,Wireless Charger_ChargerMaster,12.0
